Q9VU67	Q9W2V2
Q9VU67	Q9V3R3
Q9VCI7	Q9VPZ1
Q9VFP2	Q9VCI7
Q9VN89	Q9VN89
Q9VN89	Q9VC06
Q0KHS0	Q9VN89
Q9VN89	Q9XZT1
Q9VN89	A1Z9I9
Q24574	Q9VN89
Q9VN89	A1Z6J6
Q9VN89	P25008
Q9V3Z4	Q7KMP8
Q8IQI1	Q9VJ79
Q9VJ79	Q9VTR2
Q9VJ79	Q9VL44
Q9VJ79	Q9VEX4
Q9VQW4	Q9VN91
Q9VJ79	Q9VJU5
Q9VM81	Q9VN91
Q9VL14	Q9VN91
P10734	Q9VN91
Q8T3W6	Q9VN91
Q9V7W9	Q9VN91
Q00174	Q9VYK7
Q00174	P11455
Q00174	Q9VW22
Q7K4K7	Q9I7M3
Q9I7M3	Q95RA9
Q9VLJ8	Q9VBX2
Q9VBX2	Q9VLJ8
Q9V769	Q9XZ15
Q9V771	Q9VMD4
Q9V771	Q9VX37
P82711	Q8SXC2
P82711	P07191
Q9V773	Q7K3Z6
Q27594	Q9VST4
Q9VCJ5	Q9VTC7
Q9VCJ6	Q9VRG8
Q8T0F5	Q9VCJ6
Q9VMW8	Q9VCJ6
P22058	Q9VCJ6
Q9XZ32	Q9W208
Q9XZ32	A1Z9I0
Q9XZ32	A1Z8Z7
Q9VC65	Q9V780
EBI-170508	Q9V780
Q9W3L4	Q9V780
O76876	Q9V780
Q9W1B9	Q9V780
Q9VJW8	Q9V780
Q9VIE7	Q8SWZ6
M9PBE2	A1Z9X0
Q9VZQ9	A1Z9X0
Q9VPF3	A1Z9X0
Q9V3G9	A1Z9X0
O46085	A1Z9X0
Q9VYG2	A1Z9X0
Q960H6	A1Z9X0
A1Z9X0	O97111
O97111	A1Z9X0
Q9VVT5	A1Z9X0
A1Z9X0	Q9VH77
O76521	A1Z9X0
Q9XTN4	A1Z9X0
Q8IRH5	Q9VIT0
M9PBE2	Q9VI24
M9PBE2	Q9VI16
M9PBE2	Q24558
M9PBE2	P25171
M9PBE2	Q7KTX7
M9PBE2	Q9W2M4
M9PBE2	Q9VU89
M9PBE2	Q9VU18
M9PBE2	Q9VI55
M9PBE2	Q8T0I9
M9PBE2	Q9V472
M9PBE2	Q4Z8K6
M9PBE2	Q9VGB9
EBI-138705	M9PBE2
M9PBE2	Q9V9R6
M9PBE2	Q9VN36
M9PBE2	Q9VRC3
M9PBE2	Q9XZU1
M9PBE2	Q9VSQ3
M9PBE2	Q9VC48
M9PBE2	Q9VMS5
M9PBE2	Q8MYW5
M9PBE2	Q9VGU7
M9PBE2	Q9W550
M9PBE2	Q9VZT6
P54356	M9PBE2
M9PBE2	Q9VJE3
M9PBE2	Q9VJ53
M9PBE2	Q9VXD4
M9PBE2	Q9VMD4
M9PBE2	Q9VFU6
M9PBE2	Q9VCM3
M9PBE2	Q8T3Y1
M9PBE2	B7YZT2
M9PBE2	Q9V9V8
M9PBE2	Q9VVV6
M9PBE2	Q9VF73
M9PBE2	P42282
M9PBE2	Q9W3J9
M9PBE2	Q9V9V0
M9PBE2	O46070
M9PBE2	Q9W5B6
M9PBE2	Q9VEA5
M9PBE2	M9MRI4
M9PBE2	Q9VKQ0
M9PBE2	Q9V4B8
M9PBE2	Q9VZM9
M9PBE2	Q9VSB2
M9PBE2	Q9VPE1
M9PBE2	Q9VQF9
M9PBE2	A1ZAC8
M9PBE2	Q9VDC1
M9PBE2	Q9W1R5
M9PBE2	Q9VSY2
M9PBE2	P11455
M9PBE2	Q9Y156
M9PBE2	Q9VAZ1
M9PBE2	Q8IQB8
M9PBE2	Q9VD25
M9PBE2	Q7K4Z4
M9PBE2	Q94981
M9PBE2	O76924
M9PBE2	O97365
Q7JXC4	M9PBE2
M9PBE2	P23696
M9PBE2	Q9V460
M9PBE2	A1Z8L7
M9PBE2	Q9VLP3
M9PBE2	Q9VHR4
M9PBE2	Q7K127
M9PBE2	Q9VHG0
M9PBE2	Q8T3X9
M9PBE2	Q9VHA9
M9PBE2	Q9V428
M9PBE2	Q9W379
M9PBE2	Q9W5X1
M9PBE2	Q9VXE7
Q7K2K2	Q9VCW5
Q7K2K2	Q86B87
Q7K2K2	Q8SWW7
Q7K2K2	P22808
Q9VI24	Q9VI24
Q9VI24	Q9VXR1
P27398	Q9VI24
Q9VI24	Q9VBJ6
Q9VR05	Q9VI24
P48149	Q9VI24
Q9VI24	Q7KU88
Q9VI24	Q9VL11
Q9VM15	Q9VI24
Q9VKX2	Q9VI24
P08761-1	Q9VI24
Q9VRV6	Q9VI24
Q9VI24	Q6NQZ7
Q9VIK1	Q9VI24
Q9VRV5	Q9VCS1
Q9W3N6	Q9VRV5
EBI-172473	Q9VRV5
Q9VR05	Q9VRV5
Q4QQ70	Q9VRV5
E2QCS7	Q9VRV5
Q8IQI1	Q9VRV5
Q9W334	Q9VRV5
Q9VCF2	Q9VRV5
Q9GU68	Q9VRV5
Q9VRV5	Q9VXT8
P20009	Q9VRV5
P23803	Q9VRV5
Q9VJN5	Q9VRV5
Q960H6	Q9VRV5
P39018	Q9VRV5
Q9VRV5	Q9VJD8
Q03017-1	Q9VRV5
Q9VP20	Q9VRV5
Q9VRV6	Q9VRV5
Q9VRV5	Q9V460
Q9VAF3	Q9VRV5
Q7K2U6	Q9VRV5
H1UUE3	Q9VRV5
Q0E9B6	Q9VRV5
Q9VFV9	Q9VRV5
Q9VK21	Q9VRV5
Q9VHM3	Q9VRV5
Q9VRV4	Q7K3Z8
Q9VRV4	P15330-2
Q9VRV4	Q9V460
Q8INR6	Q9VNZ7
Q8INR6	Q9XZS4
Q8INR6	Q9V345
Q9NB13	Q9VRV3
Q03334	Q9VRV3
P07182	Q9VRV3
Q9VR05	Q9VRV3
EBI-161439	Q9VRV3
Q9VRV6	Q9VRV3
Q9VRV3	Q9VHM5
EBI-93840	Q9VRV3
Q9VH69	Q9VRV3
Q9VI20	Q9VCD5
Q9VF00	A1ZB68
P19109-2	P19109-2
Q9W1I8	P19109-2
Q0E8K5	P19109-2
P19109-2	A1Z8Y4
P19109-2	EBI-160629
Q9W0W6	P19109-2
P16554	P19109-2
Q960H6	P19109-2
Q9VV44	P19109-2
P19109-2	Q9VJD2
P19109-2	Q9VTR6
P19109-2	Q9VCC9
P19109-2	Q7JXC4
P19109-2	Q9W0D6
Q9W0D6	P19109-2
Q9VD99	P19109-2
P19109-2	Q5U156
P39736	P19109-2
Q9VQI4	P19109-2
P19109-2	Q9VQQ9
P19109-2	Q9VXG4
P02833-2	A1ZBM4
P02833-2	Q9VZZ6
P02833-2	Q9VRJ3
P02833-2	Q8IQB4
P02833-2	Q9VVC3
Q9VNK5	Q9VME1
Q05913	Q9V3U2
Q9VJ84	Q0E8F8
Q9VJ84	EBI-91191
Q9VJ84	Q9VPE4
Q9VJ84	Q9VWY5
Q9VNL0	EBI-166753
Q9VNL0	P08970
Q9VTY7	Q9VRV1
Q9VNA6	Q9VRV1
Q8T0A1	Q9VRV1
Q9W3S4	Q9VRV1
Q9W0G1	Q9VRV1
O01367-1	Q9VJ00
Q8T913	O01367-1
O01367-1	EBI-127547
Q8T3Y0	O01367-1
Q9VRD6	O01367-1
Q32KD2	O01367-1
EBI-140442	O01367-1
Q24093	O01367-1
P20439	O01367-1
Q9VV44	O01367-1
Q9VI13	P27398
