ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:Q9LES2	uniprotkb:Q9LQI9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9LES2	uniprotkb:Q9LJH8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P63170	uniprotkb:P68370	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P15205	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q9R1M7	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P39052	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q62936	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P10860	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P38650	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P29476	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q9Z340	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q9Z2Q4	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:O55156	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q99PW9	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q08877	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q8VHF0	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P47860	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P47858	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q03555	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P63018	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q6P9V9	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q02975	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P31000	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q9Z330	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q8VHF5	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P60711	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P09606	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P54283	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q62599	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
