ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:O24407	uniprotkb:O24408	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q8LAL2	uniprotkb:O24408	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9C5W9	uniprotkb:O24408	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q38826	uniprotkb:O24408	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9XFM0	uniprotkb:O24408	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:P49677	uniprotkb:O24408	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.74
uniprotkb:P49678	uniprotkb:O24408	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q38831	uniprotkb:O24408	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38831	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q8H174	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9ZSY8	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38822	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q38824	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O24409	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P33077	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q9C9L2	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q84JP1	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O24410	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q84MB2	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O22179	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9FIK2	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9MAH8	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:A0A2H1ZEF6	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P93830	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9C5X0	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38828	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:O24407	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:O24409	uniprotkb:Q9SVL0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q8LAL2	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:O64722	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38826	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9XFM0	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9FUA4	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38825	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:P49677	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q9LTC4	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P49678	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q38831	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q8H174	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9ZSY8	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:Q38822	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38824	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:O24409	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:P33077	uniprotkb:O24409	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q84MB2	uniprotkb:O24408	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O24410	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P33077	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q84MB2	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9MAH8	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9M1U4	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9LSI4	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:A0A2H1ZEF6	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9LS00	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9FIW5	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9LQW3	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P93830	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q9C5X0	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q38828	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9LVG2	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9FKM7	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:O24407	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9SVL0	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9LJW5	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9S7W5	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q8LAL2	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O64722	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38826	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q9XFM0	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q38825	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:P49677	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q9LTC4	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P49678	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:A0A2H1ZEF6	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P93830	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38828	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:O24407	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q8LAL2	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38826	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q9XFM0	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:P49677	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:Q9LTC4	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P49678	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:Q38831	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q8H174	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9ZSY8	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q38822	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:Q38824	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:O24409	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9ZUM0	uniprotkb:O24410	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O24409	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:P33077	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9FIK2	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q94JM3	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:O23160	uniprotkb:Q8LAL2	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9C9L2	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O24407	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q38824	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q9C5W9	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38826	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.80
uniprotkb:Q9XFM0	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q38825	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:P49677	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:P49678	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q38831	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q8H174	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9ZSY8	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38822	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38824	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:O24409	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:P33077	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:O24410	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q9MAH8	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:A0A2H1ZEF6	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P93830	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9C5X0	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38828	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:O24407	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q9SJM4	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q8LAL2	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q9C5W9	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q38826	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9XFM0	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:P49677	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:P49678	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38831	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q8H174	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q9ZSY8	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q38822	uniprotkb:Q9ZSY8	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q8LAL2	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9C9L2	uniprotkb:Q93WC4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9XFM0	uniprotkb:Q93WC4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:A0A2H1ZEF6	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9FWS3	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P93830	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9C5X0	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38828	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q38824	uniprotkb:Q8H174	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:O24409	uniprotkb:Q8H174	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:P33077	uniprotkb:Q8H174	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q93YR9	uniprotkb:Q8H174	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:O24410	uniprotkb:Q8H174	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q94JM3	uniprotkb:Q93WC4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.72
uniprotkb:Q9LQW3	uniprotkb:Q93WC4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O64722	uniprotkb:Q93WC4	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9MAH8	uniprotkb:Q9XFM0	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q94JM3	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38822	uniprotkb:Q8H174	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q9MAH8	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q8RYC6	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9LS00	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P93830	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q9C5X0	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38828	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q8LAL2	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q9C5W9	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9XFM0	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38831	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q8H174	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q9ZSY8	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q38822	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38824	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:O24409	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P33077	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9C9L2	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q93YR9	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:O24410	uniprotkb:Q9FKM7	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
uniprotkb:Q94JM3	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.76
uniprotkb:Q9MAH8	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:A0A2H1ZEF6	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P93830	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q38828	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q8LAL2	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q9XFM0	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:P49677	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P49678	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38831	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q8H174	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q9ZSY8	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:Q38822	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q38824	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O24409	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:P33077	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.70
uniprotkb:Q9C9L2	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.56
uniprotkb:O24410	uniprotkb:Q8RYC6	"psi-mi:""MI:0397""(two hybrid array)"	"psi-mi:""MI:0915""(physical association)"	0.67
